TRAIN01,TRAIN02,TRAIN03,TRAIN04,TRAIN07,AGG09,AGG10,AGG14,AGG15,AGG16,AGG18,AGG19,AGG20,FEAR21,FEAR23,FEAR24,FEAR26,FEAR27,FEAR28,FEAR29,FEAR30,FEAR31,SEPR32,SEPR33,SEPR34,EXCITE35,EXCITE36,EXCITE37,EXCITE38,ATT39,ATT41,PLAY43,PLAY44,PLAY45,PLAY46,IMP47,IMP48,MISC52,MISC53,MISC54,MISC55,MISC56,MISC59,MISC60,MISC61,MISC62,MISC64,MISC65,MISC66,MISC67
1,0.316,0.436,0.486,0.405,0.035,-0.006,0.013,-0.001,0.103,0.101,0.063,0.035,-0.038,-0.047,-0.089,0.065,0.027,0.07,0.166,0.087,0.066,0.076,0.123,0.188,-0.01,-0.061,0.011,-0.056,-0.158,0.055,-0.135,-0.155,-0.217,-0.131,0.22,0.156,0.184,0.254,0.105,-0.042,0.043,0.14,0.019,-0.034,0.225,0.304,0.347,0.244,0.189
0.316,1,0.506,0.424,0.303,0.044,0.043,0.046,0.051,0.081,0.036,0.025,0.05,0.074,0.066,0.071,0.132,0.111,0.154,0.152,0.149,0.105,0.097,0.175,0.157,0.112,0.045,0.075,0.037,-0.026,0.079,-0.07,-0.061,-0.086,-0.113,0.234,0.206,0.115,0.147,0.181,0.123,0.109,0.099,0.034,0.001,0.165,0.226,0.216,0.216,0.205
0.436,0.506,1,0.482,0.322,0.027,0.025,-0.004,0.026,0.089,0.064,0.111,0.068,-0.01,0.013,0.011,0.101,0.014,0.109,0.138,0.178,0.063,0.161,0.24,0.209,0.164,0.056,0.09,0.095,-0.032,0.121,-0.074,-0.047,-0.155,-0.082,0.239,0.25,0.125,0.23,0.111,0.093,0.118,0.204,0.114,0.04,0.152,0.175,0.298,0.244,0.16
0.486,0.424,0.482,1,0.538,0.097,-0.045,0.047,0.029,0.077,0.051,0.026,0.107,0.131,0.082,0.067,0.098,0.113,0.162,0.127,0.15,0.143,0.137,0.197,0.23,0.09,-0.02,0.067,0.035,-0.171,0.033,-0.13,-0.15,-0.205,-0.173,0.292,0.262,0.124,0.186,0.211,0.084,0.12,0.252,0.07,-0.077,0.255,0.382,0.421,0.427,0.346
0.405,0.303,0.322,0.538,1,0.052,-0.052,0.066,0.025,0.127,0.088,0.024,0.095,0.151,0.16,0.146,0.132,0.152,0.258,0.15,0.209,0.177,0.163,0.245,0.175,0.066,-0.054,0.008,-0.077,0.002,0.112,-0.197,-0.23,-0.324,-0.297,0.142,0.159,0.152,0.148,0.276,0.11,0.152,0.191,0.006,-0.09,0.386,0.563,0.601,0.565,0.487
0.035,0.044,0.027,0.097,0.052,1,0.661,0.523,0.778,0.487,0.452,0.296,0.134,0.551,0.529,0.509,0.219,0.249,0.261,0.157,0.162,0.166,0.139,0.036,0.1,0.024,0.002,0.006,-0.075,0.126,-0.009,-0.369,0.001,0.013,-0.002,0.091,0.07,-0.005,-0.07,0.124,0.12,0.152,0.083,-0.04,0.059,0.193,0.068,0.09,0.225,0.232
-0.006,0.043,0.025,-0.045,-0.052,0.661,1,0.637,0.659,0.408,0.427,0.335,0.208,0.301,0.317,0.263,0.203,0.197,0.101,0.103,0.096,0.111,0.172,0.12,0.136,0.024,0.023,0.023,0.004,0.105,0.015,-0.238,0.044,0.046,0.107,0.028,0.126,0.017,-0.031,-0.003,0.013,0.026,0.058,-0.044,0.062,0.129,0.03,0.038,0.041,0.089
0.013,0.046,-0.004,0.047,0.066,0.523,0.637,1,0.506,0.355,0.356,0.258,0.212,0.302,0.353,0.305,0.16,0.179,0.132,0.12,0.068,0.095,0.206,0.13,0.16,0.088,-0.011,0.053,0.046,0.121,0.028,-0.25,-0.023,-0.028,0.033,0.106,0.088,0.159,0.012,0.087,0.069,0.025,0.071,-0.061,0.019,0.148,0.134,0.124,0.085,0.16
-0.001,0.051,0.026,0.029,0.025,0.778,0.659,0.506,1,0.44,0.421,0.351,0.22,0.492,0.531,0.578,0.361,0.23,0.252,0.15,0.165,0.108,0.126,0.065,0.095,0.053,-0.028,0.013,-0.054,-0.005,-0.071,-0.417,-0.068,-0.097,-0.023,0.085,0.066,0.081,-0.009,0.073,0.146,0.139,0.013,-0.038,0.038,0.123,0.1,0.107,0.217,0.166
0.103,0.081,0.089,0.077,0.127,0.487,0.408,0.355,0.44,1,0.785,0.576,0.409,0.229,0.244,0.247,0.183,0.505,0.168,0.09,0.163,0.34,0.076,0.041,0.033,0.024,-0.06,0.017,-0.007,0.051,0.015,-0.215,-0.006,-0.076,-0.036,0.052,0.123,0.024,-0.051,0.135,0.143,0.131,0.023,-0.097,-0.045,0.429,0.124,0.22,0.154,0.171
